phase,episode_index,seed,success,collision,steps,seconds,failure_reason,final_distance_m,min_sampled_clearance_m,min_polyline_clearance_m,path_length_m,reward,goal_x_m,goal_y_m
validation-source,0,2005200,true,false,51,5.09999999999966,,0.22602900780971102,0.3535940723337656,0.35290110064692737,3.443037793164509,30.639201117463493,1.6,0.005838508485950661
validation-source,1,2005201,true,false,51,5.09999999999966,,0.1927775334581829,0.5556422393324788,0.5552691128910429,3.4824391288234744,30.777802597547716,1.6,-0.21703411729897892
validation-source,2,2005202,true,false,50,4.999999999999671,,0.2335813344505439,0.6250477780528215,0.6245725827963123,3.4434525400508402,30.61500091147594,1.6,-0.12382173418866226
validation-source,3,2005203,true,false,50,4.999999999999671,,0.2410384989260108,0.40957145277401297,0.4094367511921201,3.437405797081664,30.585712766725045,1.6,0.09475671226992213
validation-source,4,2005204,true,false,50,4.999999999999671,,0.23762875120307994,0.4380570807639953,0.43783040768424997,3.441307757796286,30.60161596671101,1.6,0.07838004862274309
validation-source,5,2005205,true,false,50,4.999999999999671,,0.23078303230976388,0.41432403163509723,0.41428645819181587,3.4514041530147805,30.657771239643406,1.6,0.1572598640233285
validation-source,6,2005206,true,false,51,5.09999999999966,,0.19389249103840203,0.5507789517319525,0.5505884989014939,3.4808318767420703,30.77718108589501,1.6,-0.2182864007546344
validation-source,7,2005207,true,false,51,5.09999999999966,,0.19219639374467837,0.5438528710009699,0.5435673414057537,3.4812281923561765,30.781120684845604,1.6,-0.20464761640492365
validation-0,0,2005200,true,false,54,5.399999999999627,,0.2344532306028573,0.2684219965290727,0.26830081338712963,3.4423038901537355,30.530092509431128,1.6,0.005838508485950661
validation-0,1,2005201,true,false,52,5.199999999999649,,0.1872500317405656,0.5080959594221622,0.5080299109224723,3.4794965575488317,30.77507117484894,1.6,-0.21703411729897892
validation-0,2,2005202,true,false,50,4.999999999999671,,0.23783720001729686,0.5664441043068073,0.5658684384589522,3.416563643582225,30.598465593888537,1.6,-0.12382173418866226
validation-0,3,2005203,true,false,52,5.199999999999649,,0.20132483364296963,0.3343096415709872,0.33411353699144675,3.4516039129327183,30.694791887241806,1.6,0.09475671226992213
validation-0,4,2005204,true,false,51,5.09999999999966,,0.2322260026080439,0.35971757401283055,0.35971757401283055,3.4173491931300606,30.59854890633931,1.6,0.07838004862274309
validation-0,5,2005205,true,false,51,5.09999999999966,,0.23799333199119188,0.3392675652206234,0.33923432478520277,3.4107555594488623,30.603990092784837,1.6,0.1572598640233285
validation-0,6,2005206,true,false,52,5.199999999999649,,0.20364763861190532,0.5027359761276565,0.5026977317651996,3.4679466405105166,30.713074827200327,1.6,-0.2182864007546344
