sample_index,collection_round,used_in_selected_model,feature_00,feature_01,feature_02,feature_03,feature_04,feature_05,feature_06,feature_07,feature_08,feature_09,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_50,feature_51,feature_52,feature_53,feature_54,feature_55,feature_56,feature_57,feature_58,feature_59,feature_60,feature_61,feature_62,feature_63,feature_64,feature_65,feature_66,feature_67,feature_68,feature_69,feature_70,feature_71,goal_x,goal_y,velocity_x,velocity_y,previous_action_x,previous_action_y,action_x,action_y
0,0,true,-0.8595350384712219,-0.8693789839744568,-0.8764698505401611,-0.8972181081771851,-0.9208264946937561,-0.922173798084259,-0.8532555103302002,-0.87952721118927,-0.8611496090888977,-0.6847478747367859,-0.7757811546325684,-0.7382836937904358,-0.780517578125,-0.783318042755127,-0.7231249213218689,-0.7763001918792725,-0.6865056753158569,-0.634482741355896,-0.6364192366600037,-0.642005205154419,-0.5097459554672241,-0.6545315384864807,-0.7038650512695312,-0.5583153367042542,-0.654203474521637,-0.6061705946922302,-0.46521613001823425,-0.11019666492938995,-0.0843571275472641,-0.03780454769730568,-0.10132388770580292,-0.04978085681796074,-0.02798057347536087,-0.12126046419143677,-0.12662595510482788,-0.06689636409282684,0.25249236822128296,0.3644177317619324,0.6426858901977539,0.3150390684604645,0.42554983496665955,0.5859674215316772,0.23729555308818817,0.2582062780857086,0.5687108635902405,0.04494375362992287,0.3696872591972351,0.6306857466697693,0.22837252914905548,0.3863637447357178,0.5563032031059265,0.21959692239761353,0.1875448375940323,0.4948371946811676,0.17191821336746216,0.4605277180671692,0.759784460067749,0.3967156708240509,0.5935825109481812,0.7643608450889587,0.30097031593322754,0.33529046177864075,0.6879243850708008,0.1677602380514145,0.5089235305786133,0.8158425688743591,0.35925057530403137,0.5302251577377319,0.7467965483665466,0.3348689675331116,0.3091210424900055,0.7414939999580383,0.800000011920929,0.083425372838974,0.0,0.0,0.0,0.0,0.8575283288955688,-0.5144367814064026
1,0,true,-0.7918695211410522,-0.7853257060050964,-0.7870641350746155,-0.8146695494651794,-0.8375239372253418,-0.8253818154335022,-0.751998782157898,-0.7828212976455688,-0.7345641255378723,-0.6774791479110718,-0.6968697309494019,-0.583334743976593,-0.7126666307449341,-0.7232369780540466,-0.5894107222557068,-0.6889891624450684,-0.6244745254516602,-0.4513269066810608,-0.6029559373855591,-0.5989443063735962,-0.47055479884147644,-0.605211615562439,-0.67409348487854,-0.46208256483078003,-0.49784883856773376,-0.4894022047519684,-0.2900751233100891,-0.11780288070440292,-0.1308359056711197,-0.07439632713794708,-0.10713999718427658,-0.06204839423298836,-0.035696353763341904,-0.12920096516609192,-0.11210086196660995,-0.09460771828889847,-0.12164559960365295,-0.2252388596534729,-0.0899854451417923,-0.25344109535217285,-0.37276673316955566,-0.25632795691490173,-0.18232111632823944,-0.24417155981063843,-0.23115003108978271,-0.3149956166744232,-0.15811744332313538,0.0022717600222676992,-0.32611095905303955,-0.31592604517936707,-0.1620229333639145,-0.22788669168949127,-0.2647804021835327,-0.18535593152046204,-0.30277520418167114,-0.1587805449962616,0.029059898108243942,-0.2645781636238098,-0.25408735871315,-0.06644517928361893,-0.10542325675487518,-0.11550300568342209,0.021773595362901688,-0.2686164975166321,-0.16202451288700104,0.0698327124118805,-0.33663856983184814,-0.3538791537284851,-0.15358087420463562,-0.1987217217683792,-0.19545122981071472,-0.12106644362211227,0.7999008297920227,0.08348288387060165,0.01802963763475418,-0.010451000183820724,0.8444797992706299,-0.4853736162185669,0.8575089573860168,-0.5144690275192261
2,0,true,-0.789178729057312,-0.7889137864112854,-0.7621464729309082,-0.810380756855011,-0.8260307312011719,-0.8013585209846497,-0.7627385854721069,-0.7919140458106995,-0.7131783962249756,-0.7088537812232971,-0.6431993246078491,-0.5684792995452881,-0.6898088455200195,-0.6925414800643921,-0.555252194404602,-0.6672336459159851,-0.6307474970817566,-0.4452046751976013,-0.6371226906776428,-0.5237188935279846,-0.41554760932922363,-0.5322492718696594,-0.6043646931648254,-0.40280792117118835,-0.4744686186313629,-0.5004391670227051,-0.31504687666893005,-0.16397473216056824,-0.16201986372470856,-0.0888202041387558,-0.14884096384048462,-0.1029488742351532,-0.0716659277677536,-0.14893968403339386,-0.12643419206142426,-0.08357726782560349,-0.013974293135106564,-0.24434898793697357,-0.19903446733951569,-0.17107629776000977,-0.37964439392089844,-0.3348681926727295,-0.13546933233737946,-0.20641900599002838,-0.30655375123023987,-0.29701822996139526,-0.22650375962257385,0.022965550422668457,-0.33617880940437317,-0.31774723529815674,-0.14671385288238525,-0.24139642715454102,-0.22841134667396545,-0.16319966316223145,-0.26988857984542847,-0.21364343166351318,-0.029630307108163834,-0.21057161688804626,-0.1624571681022644,-0.045117128640413284,0.009384877979755402,0.04590906202793121,0.13180138170719147,-0.20791184902191162,-0.1323033720254898,0.11966609209775925,-0.18982000648975372,-0.2312556356191635,-0.08227470517158508,-0.10915092378854752,-0.09059016406536102,-0.07157605141401291,0.7988731265068054,0.08407995849847794,0.094488725066185,-0.0550454743206501,0.895571231842041,-0.5330802798271179,0.8574219942092896,-0.5146139860153198
3,0,true,-0.7972491383552551,-0.7882362008094788,-0.7687475085258484,-0.8118762373924255,-0.8238009214401245,-0.8058205246925354,-0.7621146440505981,-0.7947772741317749,-0.7159551978111267,-0.7150012850761414,-0.6725050806999207,-0.5788257718086243,-0.6916577219963074,-0.6904582977294922,-0.5579959154129028,-0.6753501296043396,-0.6352184414863586,-0.47664573788642883,-0.6220092177391052,-0.5596024990081787,-0.42457255721092224,-0.5324714183807373,-0.5886520743370056,-0.3983948826789856,-0.4819023609161377,-0.5078021883964539,-0.32761839032173157,-0.17917679250240326,-0.1752191185951233,-0.10525575280189514,-0.16926738619804382,-0.14635908603668213,-0.10284962505102158,-0.161344513297081,-0.1342756301164627,-0.0764436200261116,0.08500465750694275,-0.18201033771038055,-0.1384260356426239,-0.10368179529905319,-0.32495367527008057,-0.269378662109375,-0.10109257698059082,-0.1997656375169754,-0.24716666340827942,-0.2495347261428833,-0.1643551141023636,0.0727449432015419,-0.2866295576095581,-0.26272866129875183,-0.08717355132102966,-0.21764227747917175,-0.20914609730243683,-0.09037712216377258,-0.16903531551361084,-0.14008478820323944,0.04641377180814743,-0.11931498348712921,-0.0702073946595192,0.04874269664287567,0.0459076464176178,0.06761452555656433,0.22440731525421143,-0.04665924236178398,-0.02543925680220127,0.18785202503204346,-0.088422030210495,-0.1265583336353302,0.012279902584850788,-0.04423284903168678,-0.04311723634600639,0.011159234680235386,0.7958078980445862,0.08587037771940231,0.217716783285141,-0.12722359597682953,0.9101841449737549,-0.5179810523986816,0.8572640419006348,-0.5148770809173584
4,0,true,-0.8073732256889343,-0.794536828994751,-0.7620517015457153,-0.8148021697998047,-0.8171441555023193,-0.8033809661865234,-0.7581281661987305,-0.788149893283844,-0.7182267308235168,-0.7304579615592957,-0.6830979585647583,-0.5784085988998413,-0.700135350227356,-0.6839556694030762,-0.5507779121398926,-0.6807402968406677,-0.6340906023979187,-0.4910290241241455,-0.6410087943077087,-0.5767209529876709,-0.4261837899684906,-0.5545797348022461,-0.5881586670875549,-0.39515751600265503,-0.49142298102378845,-0.5078587532043457,-0.3382798731327057,-0.19014400243759155,-0.1761273890733719,-0.1109054833650589,-0.176097109913826,-0.16440396010875702,-0.11519352346658707,-0.16972509026527405,-0.14063963294029236,-0.083005391061306,0.1516248732805252,-0.1018471047282219,-0.1268390417098999,-0.07417754083871841,-0.3140883147716522,-0.24915869534015656,-0.07991524040699005,-0.2060190588235855,-0.22103022038936615,-0.16690661013126373,-0.1058473065495491,0.07977887988090515,-0.24521945416927338,-0.25668296217918396,-0.0785515308380127,-0.19049520790576935,-0.20324602723121643,-0.0792958214879036,-0.08338319510221481,-0.05618809163570404,0.05494145303964615,-0.09488646686077118,-0.0803738385438919,0.057527169585227966,0.05637895315885544,0.04512852802872658,0.21216356754302979,0.021574798971414566,0.04200904443860054,0.18867778778076172,-0.0674184188246727,-0.13766705989837646,0.01348399929702282,-0.02629314735531807,-0.06572474539279938,-0.0016960261855274439,0.7900234460830688,0.08924714475870132,0.3622414469718933,-0.21136416494846344,0.8605462908744812,-0.5109980702400208,0.8569806814193726,-0.5153485536575317
5,0,true,-0.8134102821350098,-0.7950485944747925,-0.7571263313293457,-0.8155727386474609,-0.8123793601989746,-0.8004779815673828,-0.7558016777038574,-0.7810112833976746,-0.7157777547836304,-0.730153501033783,-0.6950780153274536,-0.5796276926994324,-0.7042229175567627,-0.6765607595443726,-0.5405793190002441,-0.6815733313560486,-0.6265812516212463,-0.4751927852630615,-0.6376218795776367,-0.5973154306411743,-0.43006542325019836,-0.573188841342926,-0.5923758149147034,-0.39189234375953674,-0.5041940212249756,-0.5092568397521973,-0.3463229238986969,-0.18907217681407928,-0.17755453288555145,-0.11320006102323532,-0.17511264979839325,-0.1707363724708557,-0.11883660405874252,-0.17048153281211853,-0.1476501077413559,-0.0945039913058281,0.1975332349538803,-0.07018940150737762,-0.11756111681461334,-0.06543926894664764,-0.3194939196109772,-0.24549253284931183,-0.06983919441699982,-0.21270453929901123,-0.2328515201807022,-0.13658490777015686,-0.0572027787566185,0.09208866953849792,-0.22869056463241577,-0.2645076513290405,-0.0786919966340065,-0.17428156733512878,-0.20842385292053223,-0.09345868229866028,-0.03655579313635826,-0.006051601842045784,0.06498847901821136,-0.08168582618236542,-0.09942994266748428,0.055451665073633194,0.05978916957974434,0.01779111847281456,0.1727607697248459,0.06361575424671173,0.07845315337181091,0.19687588512897491,-0.06136937439441681,-0.1686515212059021,0.0070477076806128025,-0.016474053263664246,-0.08074062317609787,-0.03490446135401726,0.7813311815261841,0.09432291984558105,0.5050223469734192,-0.29530107975006104,0.8072389364242554,-0.4907568097114563,0.8566296100616455,-0.5159319043159485
6,0,true,-0.8177503347396851,-0.7873411774635315,-0.7608169913291931,-0.8141080141067505,-0.8092725872993469,-0.7979305982589722,-0.7517938613891602,-0.7764871120452881,-0.7107989192008972,-0.7289003133773804,-0.6962710022926331,-0.5888054966926575,-0.7036617994308472,-0.6690127849578857,-0.5313093662261963,-0.6797187328338623,-0.6157529354095459,-0.4570842683315277,-0.6311812400817871,-0.6061580777168274,-0.4394044280052185,-0.5848104357719421,-0.595932126045227,-0.3906271457672119,-0.5139104723930359,-0.5008542537689209,-0.3378322422504425,-0.18372544646263123,-0.18508389592170715,-0.11055098474025726,-0.173414945602417,-0.1713314801454544,-0.11893615871667862,-0.17031516134738922,-0.15594607591629028,-0.10011454671621323,0.2282150834798813,-0.08671010285615921,-0.11217444390058517,-0.06333495676517487,-0.3262459933757782,-0.2456754446029663,-0.07847101241350174,-0.208051398396492,-0.23939448595046997,-0.1195317804813385,-0.05924165993928909,0.1103992834687233,-0.22228792309761047,-0.2740575671195984,-0.08144409209489822,-0.17542579770088196,-0.20910462737083435,-0.10019886493682861,-0.0044445921666920185,-0.012460462749004364,0.08812485635280609,-0.06854722648859024,-0.11125035583972931,0.055083267390728,0.052348364144563675,0.004622355569154024,0.15697813034057617,0.09355054050683975,0.05793527886271477,0.2268938273191452,-0.06840105354785919,-0.19792629778385162,0.001583630801178515,-0.020622193813323975,-0.07726257294416428,-0.03781677410006523,0.7699364423751831,0.10099818557500839,0.6312133073806763,-0.3702000379562378,0.8795275688171387,-0.4964336156845093,0.8562343120574951,-0.5165876746177673
7,0,true,-0.8397315144538879,-0.7842967510223389,-0.760657548904419,-0.8128782510757446,-0.8124891519546509,-0.7976483702659607,-0.7466769814491272,-0.773577868938446,-0.7088204026222229,-0.7258234024047852,-0.6992365717887878,-0.5955564975738525,-0.7024930715560913,-0.6650559902191162,-0.5271071791648865,-0.6769001483917236,-0.6083914041519165,-0.45065534114837646,-0.6153632998466492,-0.606097400188446,-0.4484268128871918,-0.5923839807510376,-0.6047757267951965,-0.39078372716903687,-0.5133090019226074,-0.4914470911026001,-0.33110150694847107,-0.16297568380832672,-0.18300266563892365,-0.1049356535077095,-0.167929545044899,-0.1650182604789734,-0.1175147294998169,-0.16800907254219055,-0.1639375537633896,-0.10171950608491898,0.33890241384506226,-0.07949364185333252,-0.11542332172393799,-0.056801535189151764,-0.32792794704437256,-0.2479112446308136,-0.09476801007986069,-0.19692915678024292,-0.23824049532413483,-0.05862393230199814,-0.02336934767663479,0.11622671782970428,-0.21656396985054016,-0.27615392208099365,-0.0845908671617508,-0.18386779725551605,-0.20429857075214386,-0.10599825531244278,0.13461950421333313,0.030093397945165634,0.09575009346008301,-0.04244300350546837,-0.09607240557670593,0.05425718054175377,0.04008627310395241,0.0030418802052736282,0.14653369784355164,0.26148468255996704,0.11474726349115372,0.2249523103237152,-0.06797996163368225,-0.2077031433582306,0.0010614466154947877,-0.034253597259521484,-0.058574654161930084,-0.02278556115925312,0.7562207579612732,0.10903723537921906,0.736702561378479,-0.43109390139579773,0.8967865109443665,-0.48776328563690186,0.8556111454963684,-0.5176191926002502
8,0,true,-0.8293870091438293,-0.7951744198799133,-0.7425154447555542,-0.8116317987442017,-0.8162007331848145,-0.7961581349372864,-0.7406575679779053,-0.7731232047080994,-0.7120457887649536,-0.7396555542945862,-0.6951588988304138,-0.588446319103241,-0.7005975842475891,-0.6669354438781738,-0.5233951210975647,-0.6752315163612366,-0.6018009781837463,-0.4535427689552307,-0.6310803294181824,-0.5974041223526001,-0.44957199692726135,-0.6005395650863647,-0.6122599244117737,-0.38790616393089294,-0.5140979886054993,-0.49090850353240967,-0.3195718228816986,-0.15239287912845612,-0.18511973321437836,-0.10479705780744553,-0.16179238259792328,-0.15664462745189667,-0.11727126687765121,-0.16672876477241516,-0.1698792427778244,-0.10448609292507172,0.274987131357193,-0.06473364681005478,-0.14010930061340332,-0.0753866508603096,-0.3105090260505676,-0.2533326745033264,-0.1077151969075203,-0.1941651850938797,-0.2195397913455963,-0.06272739171981812,-0.03941110894083977,0.11047890037298203,-0.22302158176898956,-0.2695152163505554,-0.09048480540513992,-0.18719851970672607,-0.20953065156936646,-0.09264738112688065,0.0908757746219635,0.040896523743867874,0.08146574348211288,-0.03901085630059242,-0.057627856731414795,0.046079833060503006,0.02731866016983986,-0.007481561973690987,0.1603454351425171,0.20467492938041687,0.1268177628517151,0.19860786199569702,-0.09417808055877686,-0.18625542521476746,-0.004836115520447493,-0.037410154938697815,-0.06575413048267365,0.027361374348402023,0.7406237125396729,0.11813709884881973,0.818851888179779,-0.47647204995155334,0.8484122157096863,-0.504072368144989,0.8546055555343628,-0.5192776918411255
9,0,true,-0.8168279528617859,-0.8064796924591064,-0.742944061756134,-0.8102927207946777,-0.8184888958930969,-0.7965087890625,-0.7377086877822876,-0.7762117981910706,-0.7136929035186768,-0.7421448826789856,-0.6856141090393066,-0.5740092396736145,-0.7037028670310974,-0.6613936424255371,-0.522227942943573,-0.676258385181427,-0.6025987267494202,-0.4609595835208893,-0.628543496131897,-0.5731490850448608,-0.43542248010635376,-0.6130067706108093,-0.6144466996192932,-0.389845609664917,-0.5147494673728943,-0.4854653477668762,-0.30959612131118774,-0.14671479165554047,-0.167080819606781,-0.10837647318840027,-0.1533079594373703,-0.1579340398311615,-0.11730581521987915,-0.16900384426116943,-0.17172008752822876,-0.10801764577627182,0.210459902882576,-0.0297547634691,-0.15388652682304382,-0.10189550369977951,-0.30521199107170105,-0.2551348805427551,-0.1142304316163063,-0.17513519525527954,-0.21439170837402344,-0.08913373202085495,-0.013382336124777794,0.08403569459915161,-0.2322891354560852,-0.28245994448661804,-0.09387616068124771,-0.18649861216545105,-0.20132972300052643,-0.08985481411218643,0.046481966972351074,0.11909924447536469,0.06509438157081604,-0.04291253164410591,-0.06493926793336868,0.04435982182621956,0.013218664564192295,0.010903168469667435,0.16256622970104218,0.1669781506061554,0.20549699664115906,0.16946274042129517,-0.12504078447818756,-0.2005309909582138,-0.010212267749011517,-0.028974482789635658,-0.04807789996266365,0.055915288627147675,0.7236353158950806,0.12800541520118713,0.8758299350738525,-0.5081800818443298,0.836696982383728,-0.49440231919288635,0.8533023595809937,-0.521416425704956
