phase,episode_index,seed,frame_index,time_s,x_m,y_m,z_m,quat_w,quat_x,quat_y,quat_z
validation-source,0,2005200,0,0.0,-1.6,0.1957435209919313,1.2,1.0,0.0,0.0,0.0
validation-source,0,2005200,1,0.10000000000000007,-1.5996143599270816,0.1954822398829756,1.2000767547079836,0.9997609458541612,0.012260333779819383,0.018082760949936973,0.0008655153535794294
validation-source,0,2005200,2,0.20000000000000015,-1.5956116078436722,0.19279439898154035,1.2006676202148832,0.9987903896277159,0.02692862747160841,0.04108861964066154,0.002081332706318431
validation-source,0,2005200,3,0.3000000000000002,-1.5836269604182438,0.18495237749007684,1.2017124657193685,0.9979295879978082,0.03303137747884789,0.055121467579847636,0.002662576236829481
validation-source,0,2005200,4,0.4000000000000003,-1.560910432431874,0.17072058651461047,1.2026540340211112,0.9976569682769605,0.03296650428312823,0.059892096934590175,0.0025922902137894637
validation-source,0,2005200,5,0.5000000000000003,-1.5265399455584026,0.15006732087663593,1.2030546274316394,0.9978954705913867,0.030947544258587954,0.05693947068368081,0.0021853960327838473
validation-source,0,2005200,6,0.6000000000000004,-1.4810950829093719,0.12337017884517472,1.2027422568596042,0.9984241799586612,0.028820509803900256,0.04812237145171753,0.0016650688817142175
validation-source,0,2005200,7,0.7000000000000005,-1.4262758208944961,0.09103149219136253,1.2018184264276561,0.9989933895306687,0.02716987628750746,0.03567484010423405,0.0011451113850815388
validation-source,0,2005200,8,0.8000000000000006,-1.3644382802458843,0.05341143283713023,1.2005569340601911,0.9994370396567862,0.023671475606993557,0.02376412599718462,0.0007289171818392448
validation-source,0,2005200,9,0.9000000000000007,-1.297904332830118,0.011160214476279183,1.1992354520262194,0.9997263244292292,0.019047504808495357,0.013575353122636072,0.0004226007453245877
validation-source,0,2005200,10,1.0000000000000007,-1.228658834741086,-0.03482424055409296,1.1980537657790653,0.9998868622385593,0.013914611007794068,0.005709177220191028,0.00022719748850045225
validation-source,0,2005200,11,1.1000000000000008,-1.1582723667993473,-0.08354951272203634,1.1971215710558913,0.9999599619177301,0.008912349531584042,-0.0007941228123189147,0.00011813669054907517
validation-source,0,2005200,12,1.2000000000000008,-1.087989191787252,-0.1340347234580517,1.196483018536152,0.9999802108234463,0.004352921331040209,-0.004541484503492984,7.039805570605393e-05
validation-source,0,2005200,13,1.300000000000001,-1.018561415204152,-0.1853758253946175,1.1961266817459373,0.9999828532075923,-8.168919869444589e-05,-0.00585521200536099,5.576781191758734e-05
validation-source,0,2005200,14,1.400000000000001,-0.9502788278454972,-0.23672608579821114,1.1960210474649664,0.9999733663590905,-0.0032118564554772296,-0.006553436993080611,5.4901316933664664e-05
validation-source,0,2005200,15,1.500000000000001,-0.8832721256537964,-0.28747673720381933,1.1961177885818852,0.9999682239271226,-0.004478325366189132,-0.006594929540770919,5.140332746233095e-05
validation-source,0,2005200,16,1.6000000000000012,-0.8175896351646278,-0.33735765275603713,1.196372491585425,0.9999574147430634,-0.004953969635359449,-0.007786144497029459,5.328312821044863e-05
